sample_id,pair_id,image_path,label,manipulation_type,mask_path,box,verdict,confidence,evidence,invalid_reason,region_eval,category
010_real,010,data/original/kodim17.png,authentic,copy_move,,"[0.5, 0.6, 0.7, 0.8]",manipulated,0.9,The golden sphere appears too perfect and shiny compared to the rest of the statue.,,region_on_authentic,authentic_region_hallucinated
004_fake,004,data/manipulated/kodim24_fake.png,manipulated,copy_move,data/masks/kodim24_mask.png,null,authentic,0.9,The house appears to be in a real-world setting with natural lighting and shadows that align with the time of day.,,no_region,wrong_verdict
003_real,003,data/original/kodim19.png,authentic,copy_move,,null,authentic,0.9,No visible signs of digital manipulation.,,no_region,authentic_ok
015_real,015,data/original/kodim10.png,authentic,copy_move,,null,authentic,0.9,"The image shows realistic reflections and shadows on the sails, indicating no obvious digital manipulation.",,no_region,authentic_ok
011_real,011,data/original/kodim02.png,authentic,copy_move,,null,authentic,0.9,No visible signs of digital manipulation.,,no_region,authentic_ok
012_real,012,data/original/kodim13.png,authentic,copy_move,,null,authentic,0.9,The image appears natural with no obvious signs of digital manipulation.,,no_region,authentic_ok
006_fake,006,data/manipulated/kodim11_fake.png,manipulated,copy_move,data/masks/kodim11_mask.png,null,authentic,0.9,No obvious signs of digital manipulation are present.,,no_region,wrong_verdict
008_real,008,data/original/kodim12.png,authentic,copy_move,,null,authentic,0.9,The lighting and shadows appear consistent with natural sunlight.,,no_region,authentic_ok
015_fake,015,data/manipulated/kodim10_fake.png,manipulated,copy_move,data/masks/kodim10_mask.png,"[0.35, 0.24, 0.45, 0.36]",manipulated,0.8,"The sail number '63455' appears twice, indicating duplication.",,hit,correct_verdict_correct_region
016_real,016,data/original/kodim03.png,authentic,copy_move,,null,authentic,0.9,The shadows cast by the hats appear consistent with natural lighting.,,no_region,authentic_ok
008_fake,008,data/manipulated/kodim12_fake.png,manipulated,copy_move,data/masks/kodim12_mask.png,"[0.73, 0.3203125, 0.79, 0.458984375]",manipulated,0.8,"The inset image appears to be a separate photo of the same person, suggesting it was added later.",,hit,correct_verdict_correct_region
002_real,002,data/original/kodim06.png,authentic,copy_move,,null,authentic,0.9,The boat appears to be in a realistic setting with natural lighting and shadows.,,no_region,authentic_ok
007_fake,007,data/manipulated/kodim18_fake.png,manipulated,copy_move,data/masks/kodim18_mask.png,null,authentic,0.95,The lighting and shadows appear consistent with natural outdoor lighting.,,no_region,wrong_verdict
013_fake,013,data/manipulated/kodim22_fake.png,manipulated,copy_move,data/masks/kodim22_mask.png,"[0.40234375, 0.5546875, 0.5065104166666666, 0.74609375]",manipulated,0.8,"The barn's reflection in the water appears too perfect and uniform, suggesting digital manipulation.",,hit,correct_verdict_correct_region
014_fake,014,data/manipulated/kodim07_fake.png,manipulated,copy_move,data/masks/kodim07_mask.png,"[0.31640625, 0.6640625, 0.46484375, 0.8515625]",manipulated,0.8,The inset image appears to be a separate photograph placed into the main image indicating manipulation.,,hit,correct_verdict_correct_region
004_real,004,data/original/kodim24.png,authentic,copy_move,,null,authentic,0.9,The image appears natural with no obvious signs of digital manipulation.,,no_region,authentic_ok
016_fake,016,data/manipulated/kodim03_fake.png,manipulated,copy_move,data/masks/kodim03_mask.png,"[0.54, 0.59765625, 0.61, 0.697265625]",manipulated,0.8,"The shadow of the hat appears to be cut out and placed on the wall, indicating digital manipulation.",,hit,correct_verdict_correct_region
007_real,007,data/original/kodim18.png,authentic,copy_move,,null,authentic,0.9,The lighting and shadows appear consistent with natural outdoor lighting.,,no_region,authentic_ok
020_fake,020,data/manipulated/kodim08_fake.png,manipulated,copy_move,data/masks/kodim08_mask.png,null,authentic,0.9,The architecture and details in the image appear consistent with traditional German townhouses.,,no_region,wrong_verdict
017_fake,017,data/manipulated/kodim23_fake.png,manipulated,copy_move,data/masks/kodim23_mask.png,"[0.15, 0.6, 0.3, 0.7]",manipulated,0.8,The parrot's beak appears distorted in the lower left corner.,,miss,correct_verdict_wrong_region
001_real,001,data/original/kodim16.png,authentic,copy_move,,null,authentic,0.9,The lighting and shadows appear consistent with natural sunlight.,,no_region,authentic_ok
005_real,005,data/original/kodim14.png,authentic,copy_move,,null,authentic,0.9,The shadows and lighting appear consistent with natural sunlight.,,no_region,authentic_ok
011_fake,011,data/manipulated/kodim02_fake.png,manipulated,copy_move,data/masks/kodim02_mask.png,null,authentic,0.9,The door handle appears natural and there are no obvious signs of digital manipulation.,,no_region,wrong_verdict
003_fake,003,data/manipulated/kodim19_fake.png,manipulated,copy_move,data/masks/kodim19_mask.png,null,authentic,0.9,No obvious signs of digital manipulation are present.,,no_region,wrong_verdict
010_fake,010,data/manipulated/kodim17_fake.png,manipulated,copy_move,data/masks/kodim17_mask.png,"[0.4375, 0.4427083333333333, 0.560546875, 0.5729166666666666]",manipulated,0.9,The golden sphere appears to be digitally added as it does not match the texture of the statue.,,hit,correct_verdict_correct_region
013_real,013,data/original/kodim22.png,authentic,copy_move,,null,authentic,0.9,The reflection of the barn in the water appears natural and consistent with the lighting and environment.,,no_region,authentic_ok
006_real,006,data/original/kodim11.png,authentic,copy_move,,null,authentic,0.9,No obvious signs of digital manipulation are present.,,no_region,authentic_ok
